repo,stars,pushed_at,lockfile_type,pytest_evidence,agent_pr_count_90d,sample_pr_numbers,trailer_kinds,base_sha_of_first_sample_pr,python_requires,lock_kind
NaanyaBiz/haggle,13,2026-09-01T22:19:12Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,4,238;236;213;142,claude-coauthor;claude-code-gen;robot-gen,5bc6d9568a19f5274ad2f1c6332c53fea649a038,>=3.14.2,uv.lock
mvanhorn/last30days-skill,60510,2026-08-30T18:45:02Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,3,993;924;725,claude-coauthor;claude-code-gen;robot-gen,e93c8249d8ba073e8e88c388ed1f0fc403ffd86e,>=3.12,uv.lock
BerriAI/litellm,57775,2026-09-02T02:59:39Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/test_*.py,3,32077;31905;30130,claude-code-gen;cursor;robot-gen,e06adb558817a53fa03f2ff78df3e7a33e3fcb35,">=3.10, <3.15",uv.lock
pytest-dev/pytest,14469,2026-09-01T11:50:22Z,uv.lock+pyproject.toml,pyproject:pytest-dep,3,14903;14901;14865,claude-code-gen;robot-gen,d6f66d42df86624ed128b84ce57df3d173fe1b95,>=3.10,uv.lock
plastic-labs/honcho,6979,2026-09-02T03:03:48Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,3,1065;927;850,claude-code-gen;robot-gen,2dbc25093d1464b11ecc385f3eb32cc28c0f4726,>=3.13,uv.lock
Andyyyy64/whichllm,6550,2026-08-14T06:49:58Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/test_*.py,3,97;69;68,claude-coauthor;claude-code-gen;robot-gen,e78d6b0303924e207440c6403693b35328e6eef4,>=3.11,uv.lock
Eigenwise/atomic-agents,6218,2026-08-24T12:20:08Z,uv.lock+pyproject.toml,pyproject:pytest-dep|pytest.ini,3,276;263;259,claude-code-gen;robot-gen,0d432e5737304edef8d877ac3c6bdab41e42a2be,>=3.12,uv.lock
harbor-framework/harbor,4783,2026-08-31T00:03:27Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py,3,2862;2857;2605,claude-code-gen;robot-gen,72f7dd0134162c5b7229f6a31286e05a49c0f8a4,>=3.12,uv.lock
Project-N-E-K-O/N.E.K.O,2708,2026-08-30T13:19:21Z,uv.lock+pyproject.toml,pyproject:pytest-dep|pytest.ini|tests/conftest.py|tests/test_*.py,3,2997;2985;1531,claude-coauthor;claude-code-gen;robot-gen,bde62d5de65e3980950734eb2111f6301e3bcc68,==3.11.*,uv.lock
xyTom/coding-tools-mcp,946,2026-08-24T00:03:54Z,uv.lock+pyproject.toml,tests/test_*.py,3,28;21;20,claude-code-gen;robot-gen,ead3564ad2434ef21e7e5faf6f1c19e38504d7f5,>=3.11,uv.lock
promptdriven/pdd,855,2026-08-24T16:17:46Z,pinned:requirements.txt,pyproject:[tool.pytest.ini_options]|pytest.ini|tests/conftest.py|tests/test_*.py,3,2332;2329;2328,claude-code-gen;robot-gen,f971b38718e55111b7d46d431c2be665f7ec7488,>=3.12,pinned-requirements
open-reaction-database/ord-data,343,2026-08-31T01:11:22Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options],3,266;263;262,claude-code-gen;robot-gen,01979ec78e5c1168c3b151714bd509352a8baf9b,>=3.11,uv.lock
daiki-beppu/youtube-automation,162,2026-09-01T13:30:32Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,3,4619;4597;659,claude-coauthor;claude-code-gen;robot-gen,0ad4ba21a9c20ec15737635591a11f3ecf4448af,>=3.11,uv.lock
ffroliva/gflow-cli,137,2026-08-30T17:39:08Z,uv.lock+pyproject.toml,conftest.py|pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,3,527;525;518,claude-code-gen;robot-gen,1dacd9b63d71d9f5076847b5f404b056023fab01,>=3.11,uv.lock
zauberzeug/rosys,135,2026-09-01T15:24:58Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,3,463;432;413,claude-code-gen;robot-gen,4fe54a5a0dc66c94e2a4daec359393ef099a6c0a,">=3.11, <3.14",uv.lock
ktwu01/benchmark-radar,132,2026-09-02T02:59:16Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,3,328;323;302,claude-code-gen;robot-gen,86e22ffc7710b9f6f018be77794372b41e684453,>=3.11,uv.lock
TeichAI/teich,131,2026-08-27T06:24:41Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,3,26;25;23,claude-code-gen;robot-gen,1d7ba7c95c8c34b6f66862ea35b79afab05e00d9,>=3.10,uv.lock
OpenHands/benchmarks,118,2026-09-01T13:18:41Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/test_*.py,3,755;740;711,openhands,81bb70528981789f13cc0627c02631518efcac28,>=3.12,uv.lock
csmar432/finai-research,111,2026-09-01T04:21:02Z,pinned:requirements-ci-lock.txt,conftest.py|pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,3,141;140;127,claude-coauthor;cursor,571329a00f9b9ff7937d65d16e8c136375e4f73c,>=3.10,pinned-requirements
Azure/gpt-rag-orchestrator,101,2026-08-17T21:50:17Z,pinned:requirements.txt,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,3,308;269;246,copilot,8c647dab49af2eec7e14fb09e3301cb6ab6b30aa,>=3.12,pinned-requirements
DanMcInerney/orchflows,52,2026-09-02T02:31:45Z,pinned:requirements-runtime.txt,tests/test_*.py,3,162;158;152,claude-code-gen;robot-gen,31b85fc7de0f93f3855d15d3ad28b7b8b2aea1b7,>=3.9,pinned-requirements
FZJ-IEK3-VSA/HiSim,45,2026-08-30T16:55:24Z,pinned:requirements.txt,pytest.ini|tests/conftest.py|tests/test_*.py,3,587;571;566,claude-coauthor;claude-code-gen;robot-gen,badb744670476cffcec75af9f96941d0cc0a1354,,pinned-requirements
app-sre/qontract-reconcile,37,2026-09-02T00:15:36Z,uv.lock+pyproject.toml,pyproject:pytest-dep,3,5794;5778;5759,claude-coauthor;claude-code-gen;robot-gen,2333b41f0fdababa59e9a265a90c1f55509ac879,==3.14.*,uv.lock
ifnull/ha-airspace,24,2026-08-30T23:54:04Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,3,63;59;58,claude-code-gen;robot-gen,819a5752528ff6526bb8f7ca02834d592bcf8b94,>=3.12,uv.lock
djtelicloud/grok-mcp-server,23,2026-08-20T23:37:59Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/test_*.py,3,508;500;33,claude-code-gen;copilot;robot-gen,765997fb36713c3c7e4880843b8d9ec723e67169,>=3.12,uv.lock
Azure/agentops,13,2026-08-28T15:43:51Z,uv.lock+pyproject.toml,pyproject:pytest-dep|tests/conftest.py,3,308;307;306,copilot,a7594d0a32979d5130c751330e2ba2ec310152c6,>=3.11,uv.lock
MoonLadderStudios/MoonMind,12,2026-09-02T02:38:41Z,poetry.lock,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,3,3904;3836;3805,claude-code-gen;robot-gen,8333e504a717c4250153adb246db4d8a8c2ea842,,poetry.lock
druide67/asiai,11,2026-08-30T01:18:21Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,3,90;88;85,claude-code-gen;robot-gen,0c7530ef2a24fafd05f874b63e2e5daf69c98bb1,>=3.11,uv.lock
FunFR/ha-indygo-pool,11,2026-08-30T00:49:55Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,3,208;202;200,claude-code-gen;robot-gen,e79c97cea55cc2fc8fa13316054d3f3ed1182032,>=3.14.2,uv.lock
